,Unnamed: 0,investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry,lat,lon
215,16,2271,Silverton Partners,Austin,vc,2020-07-23,0,0,Austin,TX,USA,silvertonpartners.com,food & beverages,30.2711286,-97.7436995
216,17,11624,Sam Decker,Austin,angel,2014-10-29,0,0,Austin,TX,USA,angel.co/samdecker,food & beverages,30.2711286,-97.7436995
217,19,3382,K5 Ventures,Los Angeles,vc,2016-03-28,0,0,Newport Beach,CA,USA,k5ventures.com,food & beverages,33.6170092,-117.9294401
218,20,7771,Konstantin Othmer,Los Altos Hills,angel,2015-03-19,0,0,Los Altos Hills,CA,USA,,food & beverages,37.3796627,-122.1374637
219,21,8161,First Step Fund,Detroit,vc,2016-08-09,0,0,Detroit,MI,USA,investdetroit.com,food & beverages,42.3315509,-83.0466403
220,23,16179,Pascal Manchon,Paris,angel,2012-09-01,0,0,Paris,,FRA,,food & beverages,40.091985,-82.911024
221,24,11826,Chrysalix EVC,Vancouver,vc,2020-09-04,0,0,Vancouver,CAN-BC,CAN,chrysalixevc.com,food & beverages,49.1566925,-122.7740237
222,26,11871,MissionOG,Philadelphia,vc,2020-07-07,0,0,Philadelphia,PA,USA,missionog.com,food & beverages,39.9527237,-75.1635262
223,28,3647,Partners Innovation Fund,Boston,vc,2020-04-27,0,0,Boston,MA,USA,,food & beverages,42.3602534,-71.0582912
224,31,16030,Flint Capital,Moscow,vc,2020-09-15,0,0,Moscow,,RUS,flintcap.com,food & beverages,55.7504461,37.6174943
225,34,1033,Lerer Ventures,New York,vc,2018-01-08,0,0,New York,NY,USA,lererventures.com,food & beverages,40.7127281,-74.0060152
226,35,19630,Jason Citron,Bay Area,angel,2012-08-15,0,0,San Francisco,CA,USA,,food & beverages,37.7790262,-122.4199061
227,37,9044,Yair Landau,Los Angeles,angel,2015-05-12,0,0,Santa Monica,CA,USA,,food & beverages,34.0194704,-118.4912273
228,40,1836,Verizon Ventures,New York,vc,2018-12-12,0,0,Basking Ridge,NJ,USA,verizonventures.com,food & beverages,40.7064088,-74.5492725
229,41,4575,bm-t,Erfurt-bindersleben,vc,2015-12-17,0,0,Erfurt-bindersleben,,DEU,bm-t.de,food & beverages,50.9743761,10.9496467
230,44,262,Trident Capital,Bay Area,vc,2017-12-06,174,101,Palo Alto,CA,USA,tridentcap.com,food & beverages,37.4443293,-122.1598465
231,46,7803,Daher Capital,Beirut Central District,vc,2020-02-05,0,0,Beirut Central District,,LBN,dahercapital.com,food & beverages,33.9055,35.5069
232,48,16218,Founders Den,Bay Area,accelerator,2013-06-01,0,0,San Francisco,CA,USA,foundersden.com,food & beverages,37.7790262,-122.4199061
233,3,8868,Philip Rosedale,Bay Area,angel,2015-12-17,0,0,San Francisco,CA,USA,angel.co/philip-rosedale,food & beverages,37.7790262,-122.4199061
234,7,1026,Silver Creek Ventures,Dallas,vc,2018-07-18,0,0,Dallas,TX,USA,silvercreekfund.com,food & beverages,32.7762719,-96.7968559
235,8,25175,Beta Angels,London,vc,2015-03-24,0,0,London,,GBR,beta-angels.com,food & beverages,42.19592,-73.36206
236,9,15013,ZhenFund,Beijing,vc,2020-07-20,0,0,Beijing,,CHN,zhenfund.com,food & beverages,35.82194,127.14889
